,,,,,,,,,,Lamborghini Huracan '15 LP 610-4,ΜΕΤΑΜΟΡΦΩΣΗ 14452,https://www.car.gr/classifieds/cars/view/338337431-lamborghini-huracan,280.000 €,6/2015,21.250 χλμ,610 bhp,5.204 cc,Αυτόματο,Βενζίνη
,,,,,,,,,,Lamborghini Gallardo '05 COUPE 5.0 V10 500HP E-GEAR AWD ΕΛΛΗΝΙΚΟ,110.000 €,https://www.car.gr/classifieds/cars/view/338969512-lamborghini-gallardo,Δόσεις,4/2005,66.000 χλμ,500 bhp,5.000 cc,Αυτόματο,Βενζίνη
,,,,,,,,,,Lamborghini Gallardo '07 CABRIO V10 520 HP E-GEAR,ΜΑΡΟΥΣΙ 15122,https://www.car.gr/classifieds/cars/view/12015973-lamborghini-gallardo,107.900 €,4/2007,24.000 χλμ,520 bhp,4.961 cc,Αυτόματο,Βενζίνη
,,,,,,,,,,Lamborghini Gallardo '07 GALLARDO 520  lift— Kamera,ΕΚΑΛΗ 14578,https://www.car.gr/classifieds/cars/view/328384966-lamborghini-gallardo,139.000 €,11/2007,8.000 χλμ,520 bhp,5.000 cc,Αυτόματο,Βενζίνη
,,,,,,,,,,Lamborghini Gallardo '09 LP 560-4,ΜΕΤΑΜΟΡΦΩΣΗ 14452,https://www.car.gr/classifieds/cars/view/334545443-lamborghini-gallardo,160.000 €,8/2009,30.309 χλμ,560 bhp,5.200 cc,Αυτόματο,Βενζίνη
,,,,,,,,,,Lamborghini Urus '20 PANORAMA - ΕΤΟΙΜΟΠΑΡΑΔΟΤΟ-12 Άτοκες Δόσεις,368.000 €,https://www.car.gr/classifieds/cars/view/337104550-lamborghini-urus,Άτοκες δόσεις,1/2020,59.000 χλμ,650 bhp,4.000 cc,Αυτόματο,Βενζίνη
,,,,,,,,,,Lamborghini Gallardo '04 ΣΑΝ ΚΑΙΝΟΥΡΓΙΟ!ΜΟΝΑΔΙΚΟ,ΛΑΡΙΣΑ 41335,https://www.car.gr/classifieds/cars/view/14645756-lamborghini-gallardo,130.000 €,4/2004,15.500 χλμ,500 bhp,5.000 cc,Αυτόματο,Βενζίνη
,,,,,,,,,,Lamborghini Gallardo '09 LP560 - 4,ΑΘΗΝΑ 10442,https://www.car.gr/classifieds/cars/view/337173695-lamborghini-gallardo,145.000 €,10/2009,99.000 χλμ,560 bhp,5.200 cc,Αυτόματο,Βενζίνη
,,,,,,,,,,Lamborghini Huracan '16 LP 610-4,ΜΕΤΑΜΟΡΦΩΣΗ 14452,https://www.car.gr/classifieds/cars/view/340643782-lamborghini-huracan,300.000 €,2/2016,11.125 χλμ,610 bhp,5.204 cc,Αυτόματο,Βενζίνη
,,,,,,,,,,Lamborghini Gallardo '11 LP 560 BICOLORE,ΝΕΑ ΕΡΥΘΡΑΙA 14671,https://www.car.gr/classifieds/cars/view/337497639-lamborghini-gallardo,159.000 €,7/2011,33.981 χλμ,560 bhp,5.204 cc,Αυτόματο,Βενζίνη
,,,,,,,,,,Lamborghini Gallardo '04 1750 HP,ΛΕΧΑΙΝΑ 27053,https://www.car.gr/classifieds/cars/view/332827501-lamborghini-gallardo,225.000 €,1/2004,59.854 χλμ,1.750 bhp,5.200 cc,Αυτόματο,Βενζίνη
,,,,,,,,,,Lamborghini Huracan '16 LP 610-4,ΝΕΑ ΕΡΥΘΡΑΙA 14671,https://www.car.gr/classifieds/cars/view/35278748-lamborghini-huracan,285.000 €,1/2016,21.668 χλμ,610 bhp,5.200 cc,Αυτόματο,Βενζίνη
,,,,,,,,,,Lamborghini Gallardo '09 520,ΒΟΥΛΑ 16673,https://www.car.gr/classifieds/cars/view/326210157-lamborghini-gallardo,110.000 €,7/2009,71.000 χλμ,520 bhp,5.000 cc,Αυτόματο,Βενζίνη
,,,,,,,,,,Lamborghini Gallardo '06 Μοναδικό με 6.000 xlm monooooo,ΚΕΡΑΤΣΙΝΙ 18757,https://www.car.gr/classifieds/cars/view/338726802-lamborghini-gallardo,120.000 €,6/2006,6.200 χλμ,500 bhp,5.000 cc,Αυτόματο,Βενζίνη
,,,,,,,,,,Lamborghini Gallardo '05,ΒΟΥΛΑ 16673,https://www.car.gr/classifieds/cars/view/340227188-lamborghini-gallardo,105.000 €,5/2005,74.000 χλμ,520 bhp,5.000 cc,Αυτόματο,Βενζίνη
,,,,,,,,,,Lamborghini Gallardo '08,ΒΟΥΛΑ 16673,https://www.car.gr/classifieds/cars/view/325390147-lamborghini-gallardo,133.000 €,10/2008,29.000 χλμ,520 bhp,5.000 cc,Αυτόματο,Βενζίνη
,,,,,,,,,,Lamborghini Gallardo '09 GALLARDO 520  lift— Kamera,ΕΚΑΛΗ 14578,https://www.car.gr/classifieds/cars/view/21548915-lamborghini-gallardo,143.899 €,2/2009,20.800 χλμ,520 bhp,5.000 cc,Αυτόματο,Βενζίνη
,,,,,,,,,,Lamborghini Gallardo '04 ΣΑΝ ΚΑΙΝΟΥΡΓΙΟ!ΜΟΝΑΔΙΚΟ,ΛΑΡΙΣΑ 41335,https://www.car.gr/classifieds/cars/view/7991665-lamborghini-gallar
